Target Job,Job name-A,Job name-B,Job name-C,Job A (p-value),Job B p-value,Job C p-value,coef-A,coef-B,coef-C,Arg>2,mod>2,exp>2,Time,Job,Task,Biome,Session,Constant
arctic-cause-of-death,bayou-displaced-reef,bayou-hide-n-seek,bayou-shrimp-tastrophe,0.6377292241,0.9888315144,0.9872858751,-0.4702144374,14.41050353,13.79787688,0.5350582218,0.2818276636,-0.4351237405,0.002386042365,0.2021264724,-0.08814006126,-0.6545806559,-0.007973500349,1.786808868
arctic-disappearing-act,kelp-shop-welcome,bayou-reef-decision,kelp-bull-kelp-forest,0.9961067389,0.008719953229,0.8196386721,-0.008130352924,1.535102139,-0.3936661214,-0.1569243425,-0.1328259954,0.01900936223,-0.002904756899,0.328513846,-0.04931272864,-0.7327521367,-0.0442078851,3.704426954
arctic-endangered-seals,bayou-reef-decision,bayou-methanogen,arctic-cause-of-death,0.1369409271,0.0555479459,0.003439248966,0.5715368971,0.7092705833,1.248469265,0.2534961952,0.2167946575,0.1697767637,-0.004981078349,-0.1321047047,-0.04088809681,0.7039238014,-0.01074033192,-1.54092759
arctic-in-ice,kelp-shop-welcome,bayou-shrimp-yields,kelp-bull-kelp-forest,0.9664573586,0.2607931674,0.9676640285,-8.061481856,0.8027889517,7.771412227,0.1164924958,-0.2445314181,0.4861181639,-0.002255925529,0.5116037459,-0.1707538562,-0.4806635067,-0.02187582739,1.695467392
arctic-isolated-instance,bayou-reef-decision,arctic-endangered-seals,arctic-above-n-below,0.3983564992,0.0726621917,0.005505067033,0.4527148514,0.9121253726,1.050798751,0.04478096364,-1.044273623,1.087267555,0.002346755415,0.02096907237,0.03205806437,-0.6809726876,-0.008903187651,1.502458587
arctic-missing-whale,coral-lionfish-conspiracy,bayou-shrimp-yields,kelp-urchin-barren-predict,1.79E-07,0.0131554397,0.02330152099,1.187745575,0.4460810689,0.5344178162,0.08288156469,-0.7937144053,0.3073341653,-0.002779327346,0.3254010237,-0.01969689494,-0.1264606091,-0.04945237008,0.5488842544
arctic-salmon-competition,bayou-hide-n-seek,arctic-disappearing-act,arctic-cause-of-death,0.985739385,0.01882511183,0.8128796383,26.63246839,1.932827118,-0.1879278964,0.7910123403,0.5114824531,-0.680907272,-0.002927379115,-0.1447217766,-0.03459868344,-1.02415795,0.002575642786,3.071931498
arctic-salmon-monitoring,bayou-shrimp-yields,arctic-stationary-survival,kelp-urchin-barren-predict,0.02483528522,0.01986158016,0.1120764928,0.8928459992,1.304405283,0.8299455319,-1.034401863,-1.266989983,3.13964199,0.004847805966,1.426718339,-0.330302004,-0.6789525172,-0.03177764112,1.401044532
arctic-seal-habitats,kelp-shop-welcome,arctic-missing-whale,kelp-bull-kelp-forest,0.8453932553,0.240988363,0.6462363698,-0.2981656135,0.7018957927,0.7564473077,-0.1295413912,-0.1666159192,0.2479657298,0.001217529184,0.1508742293,0.03070639935,-0.9058931164,-0.02809877979,2.555282313
arctic-stationary-survival,bayou-displaced-reef,kelp-start-refuge,arctic-above-n-below,0.2416230521,0.2345116043,0.183093036,-1.936762649,0.8177921704,1.673688317,-0.3991245761,-0.8788826776,0.1433202895,0.0002410241605,0.2985316976,0.09549210144,-0.9029891795,-0.02125734702,5.103883542
arctic-time-of-death,arctic-missing-whale,bayou-reef-decision,bayou-hide-n-seek,0.1461076463,0.9813298382,0.897370879,2.009920499,6.899485146,7.285163556,0.6860358019,-0.1026003579,0.01608679452,0.005104198538,0.1496190488,-0.1613133746,-0.8511690249,-0.003890939195,3.130770828
arctic-underneath,arctic-missing-whale,arctic-salmon-competition,coral-fishy-bizz,0.7786899595,0.2696092829,0.1591846211,-0.2720170192,9.241794801,10.45469985,-0.4678629608,-0.6094002668,-0.729564985,0.007880152823,0.2979790076,0.06079080077,-0.8907172727,-0.02358395077,4.633307957
bayou-alt-energy,coral-lionfish-conspiracy,bayou-reef-decision,bayou-hide-n-seek,0.6970571759,0.001843384697,0.6164719419,-0.1437837439,2.328706739,0.3109262349,0.5137285076,-0.05083675591,-0.4018278032,0.0001953836443,-0.05451629814,0.001894260854,-0.282795249,-0.01137905896,0.2405833404
bayou-blue-waters,kelp-save-urchin-barren,kelp-refuge-failure-simulation,kelp-bull-kelp-forest,0.001547203881,0.2367352514,0.07793664442,1.338919645,0.4854827664,0.9268358506,-0.4189667638,-0.9198228401,1.815753469,-0.002148453547,0.08283074584,-0.01238274749,0.2942398579,-0.003760696367,-1.755380643
bayou-boom-cause,bayou-shrimp-tastrophe,bayou-dirty-detritus,coral-ocean-plastics,0.8073821085,0.2483845059,0.01959249576,7.832861739,1.454808309,2.129672507,0.9573774531,-0.4772195906,-0.3316663734,-0.0005496059684,-0.05024543473,-0.06922300199,-0.1645815376,0.004310600919,2.779798747
bayou-hide-n-seek,bayou-methanogen,bayou-shrimp-tastrophe,kelp-urchin-barren-predict,0.01386146624,0.008151244106,0.5365333236,1.629165901,1.97181545,-0.7723228189,0.05243757593,0.578733007,-0.2924656862,-2.74E-05,-0.04061628489,0.009065886473,0.5935813053,-0.04217865885,-0.7921684344
bayou-methanogen,bayou-hide-n-seek,bayou-dirty-detritus,bayou-shrimp-tastrophe,0.01090079425,0.2681761766,0.3672643997,2.073337642,0.727998084,0.796563459,-0.09850124528,-0.4825780279,0.8624469845,-0.001464770585,0.1450877386,-0.0697646612,0.2154581669,-0.01129946119,0.2379381916
