Line Name,Code,Español,English,Code-switching,ToDo
script|job.arctic-stationary-survival.weDidIt:2,@2E462A49,Volvamos con la {nameof @profArctic},Let's report back to {nameof @profArctic}.,,TRUE
script|job.hide-n-seek.argue.intro:2,@8F0EC81D,"{@profBayou} Bueno, Oli. No pierdamos el tiempo.","{@profBayou}  Okay, Ollie. Let's not waste any time.",,TRUE
script|job.bayou-methanogen.start:0,@32D400AE,"{@profBayou} Oli, estos {pluralnameof Methanogen} que descubriste en el Sitio N son ¡INCREIBLES! ","{@profBayou}  Ollie, these {pluralnameof Methanogen} you discovered at Site N are incredible!",,TRUE
script|job.bayou-methanogen.start:6,@34D403D4,{@profBayou}  Excelente. Necesito que determines las tasas de consumo y rangos de estrés. ,{@profBayou}  Excellent. I need you to determine their rates of consumption and stress ranges.,,TRUE
script|job.bayou-shrimp-tastrophe.notEnoughData:33,@2987E2C7,"{@guide} Cuándo créas que encontraste las piezas que te faltaban, intenta simular de nuevo con los nuevos datos.","{@guide}    When you think you've found the missing pieces, try to simulate again with the new data.",,TRUE
script|job.bayou-shrimp-tastrophe.suggestShrimpEat:0,@0831A3A3,{@guide}    ¿Quizás deberías investigar qué comen los {pluralnameof WhiteShrimp}?,{@guide}    Maybe look into what {pluralnameof WhiteShrimp} eat?,,TRUE
script|job.bayou-shrimp-tastrophe.suggestEatRates:0,@B3EB3635,{@guide}    ¿Tal vez busca en las tasas de alimentación de estos organismos?,{@guide}    Maybe look into the eating rates of these organisms?,,TRUE
script|job.coral-fishy-bizz.helpAfterExperiment:1,@C4FEABD7,{@guide}\t Dirígete al {nameof Modeling} y calcula cuántos Pescadores debe estar en el Sitio V.,{@guide}\tHead to the {nameof Modeling} and figure out how many Fishers should be at Site V.,,TRUE
script|job.coral-much-algae.argue.claimSparseFishQuestion:0,@F255447F,{@profCoral}¿Qué se supone que se come la {nameof TurfAlgae}?,{@profCoral}\tWhat is supposed to eat the {nameof TurfAlgae}?,,TRUE
script|job.coral-much-algae.argue.incorrectFacts:15,@F829194D,"{@profCoral}\tTu modelo es bueno, Oli. Pero no estoy seguro si el segundo punto es importante.","{@profCoral}\tYour model is sound, Ollie. But I'm not sure how that second fact is relevant.",,TRUE
script|job.coral-much-algae.argue.incorrectFacts:21,@EC26C7D2,{@profCoral}\Hmmm. No veo cómo esto es relevante para el problema principal. ¿Por qué no lo intentas de nuevo?,{@profCoral}\tHmmm. I'm not seeing how this is relevant to the current problem. Why don't you try again?,,TRUE
script|job.coral-ocean-plastic.catchScanReef:2,@480D45AA,{@guide}\tSigue explorando. Necesitas escanear todos los organismos de aquí.,{@guide}\tKeep exploring. You need to scan all the organisms here.,,TRUE
