Line Name, Code, English
ExperimentResponses|partner.talk.experiment.behavior.newObservation.1:1, @0EE74D67, "{@kevin}    Nice one!"
ExperimentResponses|partner.talk.experiment.behavior.newObservation.2:1, @8E4FE416, "{@kevin}    Good catch."
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.1:0, @B71C8E10, "{@kevin}    I think we might be done here?"
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.2:0, @58AC69B5, "{@kevin}    I don't think there's anything left for us to observe."
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.missedSome.1:0, @B232474D, "{@kevin}    Well, we might have missed something... we should finish up and restart this experiment."
ExperimentResponses|partner.talk.experiment.behavior.idle.nothingLeft.missedSome.2:0, @10A26BA8, "{@kevin}    I feel like we missed something... we should finish this up and restart the experiment."
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.noCircles.1:0, @102DCC07, "{@kevin}    Let's be patient, I think there might be something here to observe."
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.noCircles.2:0, @B351A6D6, "{@kevin}    I'm pretty sure there's something new here to observe..."
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.1:0, @774E0111, "{@kevin}    Let's wait for another opportunity to observe a behavior."
ExperimentResponses|partner.talk.experiment.behavior.idle.somethingLeft.2:0, @55E5FE5C, "{@kevin}    We've already seen something - maybe there's something else to observe?"
script|job.arctic-missing-whale.start:3, @0BB5C48D, "{@profWhalen}\tSome researchers down south counted the pod on arrival and one is missing. They think she got lost up here."
script|job.arctic-missing-whale.start:4, @04B5B988, "{@profWhalen}  I'm adding two possible locations to your map. The first is more likely than the second."
script|job.arctic-missing-whale.start:5, @05B5BB1B, "{@player} \tOff we go!"
script|job.arctic-missing-whale.helpFindWhale:0, @85FC17A9, "{@player} \tWhat should I be doing again?"
script|job.arctic-missing-whale.helpFindWhale:1, @84FC1616, "{@kevin}\tWe need to see if we can locate the missing whale."
script|job.arctic-missing-whale.helpFindWhale:2, @83FC1483, "{@kevin}\tHave you explored Sites W and Z?"
script|job.arctic-missing-whale.gotScans:1, @C12CE67F, "{@kevin} Looks like we were able to find her..."
script|job.arctic-missing-whale.gotScans:2, @C22CE812, "{@kevin} Time to head back and let Professor Whalen know."
script|job.arctic-missing-whale.helpBackToShip:0, @1339F2AB, "{@player} \tWhere should I be going again?"
script|job.arctic-missing-whale.helpBackToShip:1, @1239F118, "{@kevin}\tWe located the whale, so let's report back to Professor Whalen."
script|job.arctic-time-of-death.start:2, @DEBAEF20, "{@profWhalen}\tI'd like to know when she died."
script|job.arctic-time-of-death.start:3, @DFBAF0B3, "You can usually tell by the state of decomposition."
script|job.arctic-time-of-death.start:4, @E4BAF892, "I'd like you to take a closer look around the whale fall."
script|job.arctic-time-of-death.start:5, @E5BAFA25, "I'm uploading some data for you."
