char.drKelp.name, , , "Mom, The Kelp Researcher"
char.drKelp.name.short, , , "Mom"
char.profCoral.name, , , "Professor Cempaka, The Coral Researcher"
char.profCoral.name.short, , , "Prof. Cempaka"
char.profBayou.name, , , "Dr. Harper, The Bayou Researcher"
char.profBayou.name.short, , , "Dr. Harper"
char.profArctic.name, , , "Director Juno, The Arctic Researcher"
char.profArctic.name.short, , , "Dir. Juno"
char.kelpMechanic.name, , , "Tío, The Kelp Mechanic"
char.kelpMechanic.name.short, , , "Tío"
char.coralMechanic.name, , , "Sofia, The Coral Mechanic"
char.coralMechanic.name.short, , , "Sofia"
char.bayouMechanic.name, , , "Alex, The Bayou Mechanic"
char.bayouMechanic.name.short, , , "Alex"
char.arcticMechanic.name, , , "Reiner, The Arctic Mechanic"
char.arcticMechanic.name.short, , , "Reiner"
char.arcticSci.name, , , "Professor Jacques Whalen"
char.arcticSci.name.short, , , "Prof. Whalen"
char.bayouSci.name, , , "Silias, The Shrimp Specialist"
char.bayouSci.name.short, , , "Silias"
char.fisher.name, , , "Fisher"
char.v1ctor.name, , , "V1ct0r"
char.guide.name, , , "V1ct0r"
char.guide.name.short, , , "V1ct0r"
char.sam.name, , , "Sam"
char.sam.name.short, , , "Sam"
char.mer.name, , , "Mer"
char.ex.name, , , "Ex"
char.ex.name.short, , , "Ex"
char.mack.name, , , "Mack"
char.mack.name.short, , , "Mack"
char.drKelp.name.formal, , , "Dr. Ramírez"
critters.arcticCod.commonName, , , "Arctic Cod"
critters.astarteBorealis.commonName, , , "Boreal Mollusc"
critters.bowheadWhale.commonName, , , "Bowhead Whale"
critters.blueheadWrasse.commonName, , , "Bluehead Wrasse"
critters.blueTang.commonName, , , "Blue Tang"
critters.blueTang.commonName.plural, , , "Blue Tangs"
critters.bristleWorm.commonName, , , "Bristle Worm"
critters.bullKelp.commonName, , , "Bull Kelp"
critters.chinookSalmon.commonName, , , "Chinook Salmon"
critters.copepod.commonName, , , "Copepod"
critters.copepod.commonName.plural, , , "Copepods"
critters.decomposingBacteria.commonName, , , "Decomposing Bacteria"
critters.detritus.commonName, , , "Detritus"
critters.diatoms.commonName, , , "Diatoms"
critters.fishers.commonName, , , "Human Fisher"
critters.giantKelp.commonName, , , "Giant Kelp"
critters.hagfish.commonName, , , "Hagfish"
critters.iceAlgae.commonName, , , "Ice Algae"
critters.loggerheadTurtle.commonName, , , "Loggerhead Turtle"
critters.loggerheadTurtle.commonName.plural, , , "Loggerhead Turtles"
critters.mussel.commonName, , , "Mussel"
critters.mussel.commonName.plural, , , "Mussels"
critters.northAtlanticOctopus.commonName, , , "North Atlantic Octopus"
critters.queenConch.commonName, , , "Queen Conch"
critters.queenConch.commonName.plural, , , "Queen Conches"
critters.redGrouper.commonName, , , "Red Grouper"
critters.ribbonSeal.commonName, , , "Ribbon Seal"
critters.salmonShark.commonName, , , "Salmon Shark"
critters.sargassum.commonName, , , "Sargassum"
critters.seaAnemone.commonName, , , "Sea Anemone"
critters.seaOtter.commonName, , , "Sea Otter"
critters.seaStar.commonName, , , "Starfish"
critters.smelt.commonName, , , "Smelt"
critters.snowCrab.commonName, , , "Snow Crab"
critters.seaOtter.commonName.plural, , , "Sea Otters"
critters.staghornCoral.commonName, , , "Staghorn Coral"
critters.turtleGrass.commonName, , , "Turtle Grass"
critters.urchin.commonName, , , "Urchin"
critters.urchin.commonName.plural, , , "Urchins"
critters.whiteShrimp.commonName, , , "White Shrimp"
critters.zombieWorm.commonName, , , "Zombie Worm"
critters.cyanobacteria.commonName, , , "Cyanobacteria"
critters.ick.commonName, , , "Ick"
critters.turfAlgae.commonName, , , "Turf Algae"
critters.pterasterObscurus.commonName, , , "Cushion Star"
critters.urchin.description, , , "Plated globe-like animal. Its long spikes help ward off predators."
critters.turtleGrass.description, , , "Turtles must really like this stuff."
critters.turfAlgae.description, , , "Red macroalgae."
critters.staghornCoral.description, , , "This coral formation has millions of tiny polyps and symbiotic zooxanthelle... but no antlers."
critters.seaStar.description, , , "Most sea stars have five arms, hundreds of tube feet, and zero orbiting planets."
critters.seaOtter.description, , , "These fuzzy critters are known to float on their backs to sleep. Scientists refer to this as ""adorable."""
critters.sargassum.description, , , "Floaty, bloaty, smells like bologna."
critters.redGrouper.description, , , "These fish clear detritus from around their dens, opening space for other critters - truly the janitors of the sea!"
critters.mussel.description, , , "These molluscs may not be muscular, but their ability to filter water is a superpower."
critters.loggerheadTurtle.description, , , "These vulnerable sea turtles have probably never even seen a log."
critters.queenConch.description, , , "Listen to the ocean in their shells. Well, after they move out of course."
critters.whiteShrimp.description, , , "10 walking legs, 10 swimming legs, and antennae 3 times longer than their body"
critters.giantKelp.description, , , "The biggest and best of the kelp! Make wonderful cookies, according to exactly one person."
critters.fishers.description, , , "Humans, specifically those that catch fish."
critters.detritus.description, , , "That's just dead organic matter. Analysis says it's 78% icky."
critters.copepod.description, , , "Super swimmers who can travel 295 ft/hr. Good thing they can't participate in the olympics."
critters.bullKelp.descripion, , , "These plant-like growths are actually composed of protists, and are unrelated to cows."
critters.blueTang.description, , , "The great lawn mowers of the coral reef. Unpaid that is."
critters.blueheadWrasse.description, , , "Larger predators will allow these ""cleaner fish"" to eat algae and parasites off their skin without any ha-wrasse-ment."
critters.fishers.commonName.plural, , , "Human Fishers"
critters.methane.commonname, , , "Methane Hydrate Crystals"
critters.methanogen.commonname, , , "Methane Fire Archaea"
critters.RedGorgonian.commonname, , , "Red Gorgonian"
critters.seapearl.commonname, , , "Sea Pearl"
critters.angelFish.commonname, , , "Angelfish"
critters.brooksi.commonName, , , "Brooksi Mussel"
critters.deepSeaSkate.commonName, , , "Deep Sea Skate"
critters.elkhornCoral.commonName, , , "Elkhorn Coral"
critters.moonJelly.commonName, , , "Moon Jelly"
critters.siphonophore.commonName, , , "Sea Dandelion"
critters.tubeworms.commonNames, , , "Tube Worms"
critters.ventstar.commonName, , , "Vent Star"
critters.plastic.commonName, , , "Plastic Bag"
critters.angelFish.description, , , "These holy fish are actually ambush hunters - not so angelic after all."
critters.angelFish.pluralname, , , "Angelfish"
critters.angelFish.commonname.plural, , , "Angelfish"
critters.moonJelly.commonName.plural, , , "Moon Jellies"
critters.moonJelly.description, , , "Opportunistic critters can wait 25 years in their polyp stage before maturing. Also thrive in waters otherwise uninhabitable. Makes a tasty chip."
critters.seapearl.commonname.plural, , , "Sea Pearls"
critters.seapearl.description, , , "These ""pearls"" are actually made of algae, but they're still treasures to me."
critters.elkhornCoral.commonName.plural, , , "Elkhorn Coral"
critters.elkhornCoral.description, , , "They are similar to their Staghorn cousins, but these coral grows in horizontal shelves."
critters.lionfish.commonName, , , "Lionfish"
critters.artificialReef.commonName, , , "Artificial Reef"
critters.spearedLionfish.commonName, , , "Speared Lionfish"
critters.whaleTracker.commonName, , , "Whale Tracker"
critters.glassSponge.commonName, , , "Glass Sponge"
critters.glassSponge.commonName.plural, , , "Glass Sponges"
critters.northernSeaNettle.commonName, , , "Northern Sea Nettle"
critters.northernSeaNettle.commonName.plural, , , "Northern Sea Nettles"
critters.glacialamphipod.commonName, , , "Glacial Amphipod"
critters.glacialamphipod.commonName.plural, , , "Glacial Amphipods"
critters.clione.commonName, , , "Clione"
critters.clione.commonName.plural, , , "Clione"
critters.arcticCopepod.commonName, , , "Arctic Copepod"
critters.arcticCopepod.commonName.plural, , , "Arctic Copepods"
critters.arcticCopepod.description, , , "How would you cope with being a tiny arctic crustacean?"
critters.plastic.commonName.plural, , , "Plastic Bags"
critters.pterasterObscurus.commonName.plural, , , "Cushion Stars"
critters.hydrogen.name, , , "Hydrogen"
critters.hydrogen.description, , , "The most basic of elements. Yes, it's also found in lattes."
critters.SeaSkate.commonName, , , "Deep Sea Skate"
critters.SeaSkate.pluralCommonName, , , "Deep Sea Skates"
critters.SeaSkate.description, , , "You won't find any sun rays this deep, but you can find these rays."
critters.redGorgonian.commonName, , , "Red Gorgonian"
critters.oceanDandelion.commonName, , , "Ocean Dandelion"
critters.diatoms.description, , , "These silica-shelled algae are responsible for over 20% of Earth's oxygen, and much of its kitty litter."
critters.cyanobacteria.description, , , "These tiny photosynthesizers are responsible for your oxygen. Remember to thank them."
critters.decomposingBacteria.description, , , "Microscopic recyclers. Does this count as eating?"
critters.salmonShark.description, , , "Don't let their name fool you: they're not a type of salmon, but one of their most voracious predators!"
critters.lionfish.description, , , "This creature actually does have quite a beautiful mane... but it's made of deadly spines."
critters.iceAlgae.description, , , "It's like ice cream, but it's green, and gooey, and algae."
critters.clione.description, , , "The flapping ""wings"" of these sea angels actually evolved from their foot."
critters.glacialamphipod.description, , , "These flea-like amphipods spend most of their life clinging to the bottom of sea ice, eating algae. Hey, it's a living."
critters.ribbonSeal.description, , , "Their buoyancy sacs may be unique among seals, but their adorableness isn't."
critters.arcticCod.description, , , "Maybe these polar fish were so cold they forgot the L."
critters.snowCrab.description, , , "Molting season turns these hard-shelled crabs into squishy blobs until they harden again. It's all about growth."
critters.astarteBorealis.description, , , "This bivalve has teeth! Three to be precise."
critters.pterasterObscurus.description, , , "The older they get, the more they look like a blob. No wonder they're obscure."
critters.seaAnemone.description, , , "Top of the food chain at the top of the world. Mainly because the North Pole isn't the most hospitable ecosystem."
critters.smelt.description, , , "Shimmer like a rainbow, smell like a cucumber."
critters.chinookSalmon.description, , , "These salmon change color when they return to freshwater to mate - It's basically their prom."
critters.bowheadWhale.description, , , "Unusually thick skulls bash through ice to let them breathe, missing dorsal fins mean they don't catch it on the ice. Priorities."
critters.northernSeaNettle.description, , , "Stinging and irritating - just like land nettle."
critters.glassSponge.description, , , "Sea sponges may look like weird plants, but they're actually some of the first animals to evolve."
critters.bristleWorm.description, , , "Centipedes of the ocean."
critters.hagfish.description, , , "These eel-shaped fish release copious amounts of slime and can tie themselves in knots. ""Hag"" sounds about right."
critters.zombieWorm.description, , , "These worms don't eat brains, but they do bore into bones to eat the marrow."
critters.northAtlanticOctopus.description, , , "Also known as the spoonarm octopus. Maybe they have a fondness for cereal."
critters.redGorgonian.description, , , "These sea fans extend feathery tentacles to capture plankton. Maybe they could also be used to cool yourself?"
