Line Name, Code, English
ExperimentResponses_partner.talk.experiment.behavior.newObservation.1_1, @EB63A935, "{@guide}    Nice one!"
ExperimentResponses_partner.talk.experiment.behavior.newObservation.2_1, @9A68A930, "{@guide}    Good catch."
ExperimentResponses_partner.talk.experiment.behavior.idle.nothingLeft.1_0, @6C52BA06, "{@guide}    I think we've learned all that we can from this experiment."
ExperimentResponses_partner.talk.experiment.behavior.idle.nothingLeft.2_0, @3C1ABB07, "{@guide}    You've been pretty thorough here! I doubt we'll learn anything more from this experiment."
ExperimentResponses_partner.talk.experiment.behavior.idle.nothingLeft.missedSome.1_0, @439BADA9, "{@guide}    Well, we might have missed something... we should finish up and restart this experiment."
ExperimentResponses_partner.talk.experiment.behavior.idle.nothingLeft.missedSome.2_0, @6874F074, "{@guide}    I feel like we missed something... we should finish this up and restart the experiment."
ExperimentResponses_partner.talk.experiment.behavior.idle.somethingLeft.noCircles.1_0, @69B13049, "{@guide}    Let's be patient, I think there might be something here to observe."
ExperimentResponses_partner.talk.experiment.behavior.idle.somethingLeft.noCircles.2_0, @0D4C7514, "{@guide}    I'm pretty sure there's something new here to observe..."
ExperimentResponses_partner.talk.experiment.behavior.idle.somethingLeft.1_0, @11B05867, "{@guide}    Let's wait for another opportunity to observe a behavior."
ExperimentResponses_partner.talk.experiment.behavior.idle.somethingLeft.2_0, @40AB22E6, "{@guide}    We've already seen something - maybe there's something else to observe?"
ExperimentResponses_partner.talk.experiment.generic.observation-tank.intro_0, @A4651C5F, "{@guide}\tThis is your {h}{nameof ObservationTank}{/h}."
ExperimentResponses_partner.talk.experiment.generic.observation-tank.intro_1, @A3651ACC, "Click {h}Add Water{/h} to fill the tank."
ExperimentResponses_partner.talk.experiment.generic.observation-tank.intro_2, @A6651F85, "Select an {h}Environment{/h} and choose which organisms to include."
ExperimentResponses_partner.talk.experiment.generic.observation-tank.intro_3, @A5651DF2, "Then click {h}Run Experiment{/h} and record how the different life forms interact!"
ExperimentResponses_partner.talk.experiment.generic.stress-tank.intro_0, @E785E5CF, "{@guide}\tThis is the {h}{nameof StressTank}{/h}."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.intro_1, @E685E43C, "Once you start an experiment, there will be sliders on the bottom."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.intro_2, @E985E8F5, "Moving the sliders affects the tank conditions."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.intro_3, @E885E762, "They will auto adjust to make sure the organisms don't get hurt."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_0, @2A9872D2, "{@guide}\tAdequate work, O!"
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_1, @2B987465, "{@player}\tHmm. Can you remind me what this all means, {nameof @guide}?"
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_2, @28986FAC, "{@guide}\tCertainly, O."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_3, @2998713F, "For each environment variable, the bars show values from low to high."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_4, @26986C86, "{@guide}\tThe grayed parts show the range where the organism is stressed."
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_5, @27986E19, "{@player} \tGot it. So basically... we're getting the ranges of conditions that stress the organism?"
ExperimentResponses_partner.talk.experiment.generic.stress-tank.outro_6, @24986960, "{@guide}\tExactly."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_0, @7CCA2B7D, "{@guide}\tThis is the {h}{nameof MeasurementTank}{/h}."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_1, @7BCA29EA, "We can use it to gather numerical facts that we'll need to run simulations in the Modeling Lab."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_2, @7ACA2857, "First you will select an {h}Environment{/h}."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_3, @79CA26C4, "Some environments will stress organisms, others will not. Don't be afraid to select ecosystems outside of your current job!"
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_4, @78CA2531, "Then you will select the {h}Organisms{/h} you are trying to measure something about."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_5, @77CA239E, "After that, you can set the {nameof WaterStabilizer} or the {nameof AutoFeeder} if you have them."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.intro_6, @76CA220B, "Click the {h}Add Water{/h} button to get started!"
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_0, @5333E9D9, "{@guide}\tThis is your {h}{nameof MeasurementTank}{/h}."
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_1, @5233E846, "Use it to gather measurements that you'll need for Modeling Lab simulations!"
ExperimentResponses_partner.talk.experiment.generic.measurement-tank.request-intro_2, @5133E6B3, "First, select an {h}Environment{/h}."
