char.drKelp.name, , , "Mami, La Investigadora de Algas Marinas"
char.drKelp.name.short, , , "Mami"
char.profCoral.name, , , "Profesor Cempaka, Investigador de Corales"
char.profCoral.name.short, , , "Profesor Cempaka"
char.profBayou.name, , , "Dra. Harper, Investigadora del Pantano"
char.profBayou.name.short, , , "Dra. Harper"
char.profArctic.name, , , "Directora Juno, La Investigadora del Ártico"
char.profArctic.name.short, , , "Dira. Juno"
char.kelpMechanic.name, , , "Tío, El Mecánico de las Algas"
char.kelpMechanic.name.short, , , "Tío"
char.coralMechanic.name, , , "Sofía, La Mecánica del Sitio Coral"
char.coralMechanic.name.short, , , "Sofía"
char.bayouMechanic.name, , , "Alex, La Mecánica del Pantano"
char.bayouMechanic.name.short, , , "Alex"
char.arcticMechanic.name, , , "Reiner, El Mecánico del Ártico"
char.arcticMechanic.name.short, , , "Reiner"
char.arcticSci.name, , , "Profesor Jacques Whalen"
char.arcticSci.name.short, , , "Profesor Whalen"
char.bayouSci.name, , , "Silias, El Especialista en Camarones"
char.bayouSci.name.short, , , "Silias"
char.fisher.name, , , "Pescador"
char.v1ctor.name, , , "V1ct0r"
char.guide.name, , , "V1ct0r"
char.guide.name.short, , , "V1ct0r"
char.sam.name, , , "Sam"
char.sam.name.short, , , "Sam"
char.mer.name, , , "Mer"
char.ex.name, , , "Ex"
char.ex.name.short, , , "Ex"
char.mack.name, , , "Mack"
char.mack.name.short, , , "Mack"
char.drKelp.name.formal, , , "Dra. Ramírez"
critters.arcticCod.commonName, , , "Bacalao Polar"
critters.astarteBorealis.commonName, , , "Almeja Boreal"
critters.bowheadWhale.commonName, , , "Ballena Boreal"
critters.blueheadWrasse.commonName, , , "Pez Cara de Cotorra"
critters.blueTang.commonName, , , "Pez cirujano azul"
critters.blueTang.commonName.plural, , , "Peces Cirujanos Azules"
critters.bristleWorm.commonName, , , "Poliqueto Marino"
critters.bullKelp.commonName, , , "Alga de Toro"
critters.chinookSalmon.commonName, , , "Salmón Real"
critters.copepod.commonName, , , "Copépodo"
critters.copepod.commonName.plural, , , "Copépodos"
critters.decomposingBacteria.commonName, , , "Bacterias Descomponedoras"
critters.detritus.commonName, , , "Detritus"
critters.diatoms.commonName, , , "Diatomeas"
critters.fishers.commonName, , , "Pescador Humano"
critters.giantKelp.commonName, , , "Alga Gigante"
critters.hagfish.commonName, , , "Mixines"
critters.iceAlgae.commonName, , , "Algas del Hielo"
critters.loggerheadTurtle.commonName, , , "Tortuga Boba"
critters.loggerheadTurtle.commonName.plural, , , "Tortugas Bobas"
critters.mussel.commonName, , , "Mejillón"
critters.mussel.commonName.plural, , , "Mejillones"
critters.northAtlanticOctopus.commonName, , , "Pulpo Ártico"
critters.queenConch.commonName, , , "Caracol Rosado"
critters.queenConch.commonName.plural, , , "Caracoles Rosados"
critters.redGrouper.commonName, , , "Cherna Americana"
critters.ribbonSeal.commonName, , , "Foca Listada"
critters.salmonShark.commonName, , , "Tiburón Salmón"
critters.sargassum.commonName, , , "Sargazo"
critters.seaAnemone.commonName, , , "Anémonas de Mar"
critters.seaOtter.commonName, , , "Nutria Marina"
critters.seaStar.commonName, , , "Pez estrella"
critters.smelt.commonName, , , "Eperlano"
critters.snowCrab.commonName, , , "Cangrejo de la Nieve"
critters.seaOtter.commonName.plural, , , "Nutrias Marinas"
critters.staghornCoral.commonName, , , "Coral Cuerno de Ciervo"
critters.turtleGrass.commonName, , , "Hierba de Tortuga"
critters.urchin.commonName, , , "Erizo de Mar"
critters.urchin.commonName.plural, , , "Erizos"
critters.whiteShrimp.commonName, , , "Camarón blanco"
critters.zombieWorm.commonName, , , "Gusano Zombi"
critters.cyanobacteria.commonName, , , "Cianobacteria"
critters.ick.commonName, , , "Parásito del Punto Blanco"
critters.turfAlgae.commonName, , , "Alga Roja"
critters.pterasterObscurus.commonName, , , "Estrella Cojín Ártica"
critters.urchin.description, , , "Animal blindado en forma de globo. Sus largas espinas ayudan a protegerse de los depredadores"
critters.turtleGrass.description, , , "A las totugas les encantarían estas cosas."
critters.turfAlgae.description, , , "Algas Rojas"
critters.staghornCoral.description, , , "Esta formación de coral tiene millones de pequeños pólipos y zooxantela simbiótica... pero no cuernos."
critters.seaStar.description, , , "La mayoría tienen cinco brazos, cientos de tubo-patas y zero planetas en órbita."
critters.seaOtter.description, , , "Estos peluches se conocen por sus manos flotantes en sus pancitas cuando duermen. La comunidad scientifica lo llama ""adorable"" """
critters.sargassum.description, , , "Flota, se hincha, y apesta a ceviche."
critters.redGrouper.description, , , "Estos peces limpian su detritus del alrededor de sus madrigueras, abriendo espacio para otros bichos: ¡son auténticos conserjes del mar!"
critters.mussel.description, , , "Puede que estos mejillones no sean musculosos, pero su capacidad para filtrar el agua es un superpoder."
critters.loggerheadTurtle.description, , , "Estas tortugas marinas vulnerables probablemente nunca han visto un tronco."
critters.queenConch.description, , , "Escucha el océano en sus conchas. Bueno, después de que se muden."
critters.whiteShrimp.description, , , "10 patas para caminar, 10 patas para nadar y antenas 3 veces más largas que su cuerpo"
critters.giantKelp.description, , , "¡La mayor y mejor de las algas! Hacen unas galletas maravillosas, según cuenta una sola persona."
critters.fishers.description, , , "Los humanos, en particular los que capturan peces."
critters.detritus.description, , , "Es materia orgánica muerta. Los análisis dicen que es un 78% de asquerosidad."
critters.copepod.description, , , "Supernadadores que pueden desplazarse a 90 metros/hora. Lo bueno es que no pueden participar en las olimpiadas."
critters.bullKelp.descripion, , , "Estos crecimientos parecidos a plantas están compuestos en realidad por protistas, y no están relacionados con las vacas."
critters.blueTang.description, , , "Las cortadoras de césped del arrecife de coral. Eso sí, sin pagar."
critters.blueheadWrasse.description, , , "Los depredadores más grandes permitirán a estos ""peces limpiadores"" comerse las algas y los parásitos de su piel sin darles ningúna mala-cara."
critters.fishers.commonName.plural, , , "Pescadores Humanos"
critters.methane.commonname, , , "Cristales de Hidrato de Metano"
critters.methanogen.commonname, , , "Arquea Metanógena"
critters.RedGorgonian.commonname, , , "Gorgonia Roja"
critters.seapearl.commonname, , , "Perla Marina"
critters.angelFish.commonname, , , "Pez Ángel"
critters.brooksi.commonName, , , "Mejillón Brooksi"
critters.deepSeaSkate.commonName, , , "Raya de las Profundidades"
critters.elkhornCoral.commonName, , , "Coral Cuerno de Alce"
critters.moonJelly.commonName, , , "Medusa Lunar"
critters.siphonophore.commonName, , , "Sifonóforo Diente de León"
critters.tubeworms.commonNames, , , "Gusano de Tubo Gigante"
critters.ventstar.commonName, , , "Estrella Hidrotermal"
critters.plastic.commonName, , , "Bolsa de plástico"
critters.angelFish.description, , , "Estos peces angélicos son en realidad cazadores de emboscadas. No tan santos después de todo."
critters.angelFish.pluralname, , , "Pez Ángel"
critters.angelFish.commonname.plural, , , "Pez Ángel"
critters.moonJelly.commonName.plural, , , "Medusas Lunar"
critters.moonJelly.description, , , "Estos bichos oportunistas pueden esperar 25 años en su fase de pólipo antes de madurar. También prosperan en aguas que no podrían ser habitadas. Hacen un taco delicioso."
critters.seapearl.commonname.plural, , , "Algas Burbujas"
critters.seapearl.description, , , "Estas parecidas perlas en realidad están hechas de algas, pero siguen siendo tesoros para mí."
critters.elkhornCoral.commonName.plural, , , "Coral Cuerno de Alce"
critters.elkhornCoral.description, , , "Son similares a sus primos Coral Cuerno de Ciervo, pero estos corales crecen en repisas horizontales."
critters.lionfish.commonName, , , "Pez León"
critters.artificialReef.commonName, , , "Arrecife Artificial"
critters.spearedLionfish.commonName, , , "Pez León Arponeado"
critters.whaleTracker.commonName, , , "Rastreador de Ballenas"
critters.glassSponge.commonName, , , "Esponjas Vítreas"
critters.glassSponge.commonName.plural, , , "Esponja Vítrea"
critters.northernSeaNettle.commonName, , , "Medusa del Ártico"
critters.northernSeaNettle.commonName.plural, , , "Medusas del Ártico"
critters.glacialamphipod.commonName, , , "Anfípodo Glacial"
critters.glacialamphipod.commonName.plural, , , "Anfípodos Glaciares"
critters.clione.commonName, , , "Ángel del mar"
critters.clione.commonName.plural, , , "Ángel del mar"
critters.arcticCopepod.commonName, , , "Copépodo Artico"
critters.arcticCopepod.commonName.plural, , , "Copépodos Articos"
critters.arcticCopepod.description, , , "Como te la llevarías siendo un crustáceo tan chiquito?"
critters.plastic.commonName.plural, , , "Bolsas de Plastico"
critters.pterasterObscurus.commonName.plural, , , "Estrellas Cojín Árticas"
critters.hydrogen.name, , , "Hidrógeno"
critters.hydrogen.description, , , "El más básico de los elementos. Sí, también se encuentra en los cafés con leche."
critters.SeaSkate.commonName, , , "Raya de las Profundidades"
critters.SeaSkate.pluralCommonName, , , "Rayas de las Profundidades"
critters.SeaSkate.description, , , "No encontrarás rayos de sol en éstas profundidades, pero sí estas rayas."
critters.redGorgonian.commonName, , , "Gorgonia roja"
critters.oceanDandelion.commonName, , , "Sifonóforo Diente de León"
critters.diatoms.description, , , "Estas algas con caparazón de sílice son responsables de más del 20% del oxígeno de la Tierra, y gran parte de arena para los gatos."
critters.cyanobacteria.description, , , "Estos pequeños fotosintetizadores son los responsables de tu oxígeno. Acuérdate de darles las gracias."
critters.decomposingBacteria.description, , , "Recicladores microscópicos. ¿Se puede contar como comer?"
critters.salmonShark.description, , , "No dejes que su nombre te engañe: ¡no son un tipo de salmón, sino uno los depredadores más feroces!"
critters.lionfish.description, , , "En realidad, esta criatura tiene una hermosa cabellera... pero está hecha de espinas mortales."
critters.iceAlgae.description, , , "Es como un helado, pero verde, pegajoso y con algas."
critters.clione.description, , , "Las ""alitas"" de estos angelitos de mar originalmente se desarrollaron su pies."
critters.glacialamphipod.description, , , "Estos anfípodos se parecen a pulgitas y pasan la mayor parte de sus vidas pegados al fondo del hielo marino, comiendo algas. Así se ganan la vida."
critters.ribbonSeal.description, , , "Puede que sus sacos de flotabilidad sean únicos entre las focas, pero su adorabilidad no lo es."
critters.arcticCod.description, , , "Estos pescaditos dicen pío pío pío cuando tienene hambre y cuando tienen frío."
critters.snowCrab.description, , , "La temporada de muda transforma sus duros esqueletos a caparazones blanditos hasta que vuelven a endurecerse. Todo para el crecimiento."
critters.astarteBorealis.description, , , "¡Este bivalvo tiene dientes! Tres para ser exactos."
critters.pterasterObscurus.description, , , "Entre más viejos se ponen, más se transforman en blob."
critters.seaAnemone.description, , , "En la cima de la cadena alimentaria y en la cima del mundo. Principalmente porque el Polo Norte no es el ecosistema más habitable."
critters.smelt.description, , , "Brillan como arcoíris, huelen como pepino."
critters.chinookSalmon.description, , , "Este salmón cambia de color cuando regresan al agua dulce para reproducir- es como su baile del sacadito."
critters.bowheadWhale.description, , , "Sus cráneos gruesos rompen el hielo para permitirles respirar, y la falta de aletas dorsales les impide atrapar en el hielo. Las prioridades."
critters.northernSeaNettle.description, , , "Pica y irrita - así como la Ortiga"
critters.glassSponge.description, , , "Las esponjas marinas pueden parecer plantas extrañas, pero en realidad son algunos de los primeros animales en evolucionar."
critters.bristleWorm.description, , , "Los ciempiés del océano."
critters.hagfish.description, , , "Estos peces con forma de anguila liberan grandes cantidades de baba y pueden hacerse nudos a sí mismos."
critters.zombieWorm.description, , , "Estos gusanos no se comen los sesos, pero perforan los huesos para comerse la médula."
critters.northAtlanticOctopus.description, , , "También conocido como el pulpo brazo de cuchara. Tal vez tienen una afición por los cereales."
critters.redGorgonian.description, , , "Estos abanicos de mar extienden tentáculos plumosos para capturar plancton. ¿Quizá también podrían utilizarse para refrescarse?"
critters.brooksi.description, , , "Estos mejillones de aguas profundas tienen metanógenos endosimbióticos. Deben de estar desesperados por asociarse con alguien tan apestoso."
critters.tubeworms.description, , , "Estos lombrices parecidas a alienígenas obtienen gran parte de su biomasa de las bacterias simbióticas que se alimentan de azufre."
critters.methanogen.description, , , "En lugar de oxígeno, estas bacterias inhalan gas hidrógeno y exhalan metano. Hablando de mal aliento."
critters.methane.description, , , "Un compuesto llena de energía. Se asocia sobre todo a los pedos de vaca."
critters.oceanDandelion.description, , , "Definitivamente no es una planta. Es más probable que te absorba en vez de hacerte pedazos."
critters.ventstar.description, , , "Su nombre es bastante apropiado, porque estos equinodermos parecen del espacio exterior."
critters.ribbonSeal.commonName.plural, , , "Focas Listadas"
critters.lionfish.commonName.plural, , , "Pez León"
critters.oceanDandelion.commonName.plural, , , "Sifonóforo Diente de León"
critters.anglerFish.commonname, , , "Pez Abisal"
critters.anglerFish.description, , , "¿Qué le pasa a este pez? Me asusta un poco..."
critters.bloodJelly.commonname, , , "Ctenóforo Vientre Rojo"
critters.bloodJelly.description, , , "No sé qué es esto..."
critters.dinnerJelly.commonname, , , "Narcomedusa"
critters.dinnerJelly.description, , , "No sé qué es esto..."
critters.flapjackOcto.commonname, , , "Pulpo Paraguas"
critters.flapjackOcto.description, , , "No sé qué es esto..."
critters.gossamerWorm.commonname, , , "Gusano Marino Tomopteris"
critters.gossamerWorm.description, , , "No sé qué es esto..."
critters.mysidShrimp.commonname, , , "Camarón Misida"
critters.mysidShrimp.description, , , "Ni idea qué es esto..."
critters.viperFish.commonname, , , "Pez Víbora"
critters.viperFish.description, , , "Ni idea qué es esto..."
critters.colossalSquid.commonname, , , "Calamar Colosal"
critters.colossalSquid.description, , , "No sé qué es esto..."
critters.encoded.1, , , "¿Me escuchas, Oli? Habla Sam. {un}Encontramos{/un} el Challenger Deep. ¡Dinn dice que tiene un enlace de comunicaciones de larga distancia con tu nave! {un}No sé cómo{/n} funciona o si estás recibiendo esto. La sonda sigue entera. Los datos están llegando poco a poco. Pero O... hay {un}algo más{/un} aquí abajo. Llámame en cuanto oigas esto."
critters.encoded.2, , , "O, por favor dime que estás recibiendo esto. Intento enviarte nuestros datos, pero tardan una {un}eternidad{/un} en cargarse. Creo que nos excedimos. {un}La estación{/un} está siendo atacada. Esta cosa es enorme. No puedo verlo, pero sigue atacándonos. Espero que {un}se aburra{/un} y nos deje {un}en paz{/un}."
critters.encoded.3, , , "O, ¿me copias? {un}Necesitamos{/un} ayuda. La criatura sigue atacando. Los sistemas se están volviendo locos. Tuve que {un}apagar{/un} la sonda para que la criatura no la destruyera. Ex sacará el submarino e irá por ayuda. {un}Deséanos{/un} suerte. Llama cuando oigas esto."
critters.encoded.4, , , "La cosa que nos ataca {un}es una clase de{/un} calamar. Hermoso. Aterrador. Del tamaño de un autobús. Acabó con nuestro submarino en {un}cuatro segundos{/un}. Por suerte Ex logró volver a la estación. Estamos {un}atrapados{/un} aquí. Los sistemas fallan. Las luces parpadean como locas. Dinn arregló el depurador de oxígeno, pero no {un}durará{/un}. Por favor, apúrense."
critters.encoded.5, , , "¿Me escuchas, Oli? Habla Sam. {un}Encontramos{/un} el Challenger Deep. ¡Dinn dice que tiene un enlace de comunicaciones de larga distancia con tu nave! {un}No sé cómo{/n} funciona o si estás recibiendo esto. La sonda sigue entera. Los datos están llegando poco a poco. Pero Olili... hay {un}algo más{/un} aquí abajo. Llámame en cuanto oigas esto."
critters.encoded.6, , , "Oye, Oli. No sé por qué sigo enviando esto. Supongo que es bueno fingir que no escuchas. Realmente hubiera deseado que vinieras a esta misión conmigo. Pero ahora me alegro de que no lo hicieras. Para que sepas, {un}lo siento{/un} por el accidente del submarino. No debí {un}presionarte{/un} para sacar el submarino de noche. Si recibes este mensaje, envía ayuda."
critters.encoded.7, , , "Oli, es Sam. Tengo más datos para ti. {un}Espero{/un} que esto salga bien, porque no sé cuánto más podremos aguantar. Hay {un}roturas{/un} en el vidrio exterior. Nuestro oxígeno se disminuye. {un}Casi{/un} no nos queda tiempo."
critters.encoded.8, , , "Nautilus a Oli. Se acabó. {un}Los últimos{/un} de nuestros datos. Quizá sea suficiente para {un}salir de{/un} este lío. Nos quedan unos días de oxígeno. Oli {un}quizá sólo unos{/un} segundos, si el calamar rompe el vidrio. {un}Si puedes oírme{/un}... Estoy enviando la mission a cualquier Tablón de Trabajos {un}dentro de mi alcance{/un}. Espero que te encuentre. Sé que puedes resolver esto."
critters.zombieWorm.pluralName, , , "Gusanos Zombis"
critters.zombieWorm.plural, , , "Gusanos Zombis"
critters.bowheadWhale.plural, , , "Ballenas Boreales"
critters.ick.description, , , "Parásito microscópico que vive en el Pez Cirujano"
ecosystems.a_CoolKelpForest.commonName, , , "Entrante Marino"
ecosystems.b_UrchinBarren.commonName, , , "Oasis del Barranco"
ecosystems.c_WarmKelpForest.commonName, , , "Laguna Forestal"
ecosystems.d_MixedKelpForest.commonName, , , "Horizonte de Mer"
ecosystems.n_ThermalVent.commonName, , , "Profundidades Ignis Collis"
ecosystems.o_OilRig.commonName, , , "Plataforma Petrolifera Industrias ERC"
ecosystems.p_DeadZone.commonName, , , "Bahía de Arrastre"
ecosystems.r_SargassumCoveredReef.commonName, , , "Playa Salada"
ecosystems.s_Lionfish.commonName, , , "Arrecife de restauración"
ecosystems.v_ReefEdge.commonName, , , "Pradera de la Serenidad"
ecosystems.w_WhaleFall.commonName, , , "El Paso Blanco"
ecosystems.x_UnderTheIce.commonName, , , "Río Glacial"
ecosystems.y_IceCrevice.commonName, , , "Paso Efímero"
ecosystems.z_OpenOcean.commonName, , , "Mar Glacial"
ecosystems.DeepSea.commonName, , , "Las Profundidades Inferiores"
ecosystems.a_CoolKelpForest.description, , , "Un bosque de algas en aguas oceánicas más frías."
ecosystems.b_UrchinBarren.description, , , "Una llanura submarina desolada en la que antes abundaban las algas."
ecosystems.c_WarmKelpForest.description, , , "Un bosque de algas situado en aguas cálidas del océano. Los bosques de algas forman el esqueleto de muchos ecosistemas oceánicos."
ecosystems.d_MixedKelpForest.description, , , "Un refugio mixto, destinado a refugiar varias especies de algas al mismo tiempo."
ecosystems.r_SargassumCoveredReef.description, , , "Un arrecife de coral cubierto de sargazo."
ecosystems.v_ReefEdge.description, , , "El borde del hábitat de un arrecife de coral."
ecosystems.s_Lionfish.description, , , "Anteriormente un ecosistema de arrecifes prósperos que ahora se encuentran en colapso. Hay diversas especies en todo el espacio. Persiste una presencia perturbadora."
ecosystems.n_ThermalVent.description, , , "Más profundo, más oscuro, pero de alguna forma más cálido. La base de la estación de excavación está rodeada de respiraderos térmicos. ¿Un jacuzzi bajo el centro de investigación?"
ecosystems.o_OilRig.description, , , "Antigua plataforma de excavación petrolífera abandonada por la empresa. Ahora es el hogar de un arrecife tan discutido por un grupo de científicos investigadores."
ecosystems.p_DeadZone.description, , , "Un hábitat de camarones económicamente valioso. Las aguas apenas profundas deberían ser perfectas para el placer de los camarones. Los informes locales sobre el cambio de las condiciones son preocupantes."
ecosystems.w_WhaleFall.description, , , "Zona oceánica semiabierta entre varios afloramientos del hielo. Esta zona se congela en el invierno. Los organismos suelen emigrar durante los cambios de estaciones."
ecosystems.x_UnderTheIce.description, , , "¡Una zona recién descubierta! Posición desconocida. Parece tener corrientes que se mueven de un lado a otro del hielo."
ecosystems.y_IceCrevice.description, , , "Pequeña grieta similar a un puerto en el hielo. Aguas más tranquilas en comparación con el océano abierto. El hábitat preferido de la foca de listada."
ecosystems.z_OpenOcean.description, , , "Refugio del salmón durante los cambios estacionales del verano. La región más fría sigue considerándose mar abierto."
ecosystems.DeepSea.description, , , "La zona más oscura y profunda del océano, cerca de las zanjas que se extienden para crear nuevos fondos oceánicos. Poco explorada por la actividad humana."
experiment.backToShip.tooltip, , , "Volver al Exterior del Timón"
experiment.env.none, , , "<color=yellow> Ningún Ambiente Definido</color>"
experiment.env.button.tooltip, , , "Selecciona Ambiente"
experiment.critter.button.tooltip, , , "Selecciona Organismo"
experiment.critter.button.multi.tooltip, , , "Selecciona Organismos"
experiment.run.button.tooltip, , , "Ejecutar Experimento"
experiment.waterStabilizer.button.tooltip, , , "Estabilizador de agua"
experiment.autoFeeder.button.tooltip, , , "Autoalimentador"
experiment.button.addOrganism, , , "Añadir organismos"
experiment.button.run, , , "Ejecutar Experimento"
experiment.button.addWater, , , "Añadir agua"
experiment.button.features, , , "Seleccionar características"
experiment.button.endExperiment, , , "Finalizar Experimento"
experiment.button.addOrganisms, , , "Añadir organismos"
experiment.summary.noNewFacts, , , "Es más probable que descubras nuevos hechos si pruebas diferentes combinaciones de organismos y ajustes del tanque."
experiment.summary.noFacts, , , "Es más probable que se produzcan nuevas observaciones si colocas combinaciones nuevas de organismos juntos en el tanque."
experiment.summary.missedFacts, , , "Si no tienes cuidado, se acabará la comida de un organismo antes de que puedas observarlo comer."
experiment.summary.deadOrganisms, , , "Algunos organismos murieron como consecuencia de los ajustes del agua. Asegúrate de que tus organismos pueden sobrevivir antes de realizar el experimento."
experiment.summary.singleOrganism, , , "Es más probable que se produzcan nuevas observaciones si colocas más de un tipo de organismo en el tanque."
experiment.summary.deadMatter, , , "La materia no viviente no se puede someter a pruebas de forma aislada."
experiment.summary.deadMatterPair, , , "Las interacciones alimentarias sólo pueden producirse si uno de los organismos del tanque está vivo."
experiment.summary.eatNeedsObserveFirst, , , "Las interacciones alimentarias deben observarse en el {nameof ObservationTank} antes de que puedan medirse."
experiment.summary.hadRemainingObservations, , , "Es más probable que se produzcan nuevas observaciones si eres paciente y esperas a que los organismos interactúen."
experiment.summary.parasiteNeedsObserveFirst, , , "Las interacciones parasitarias deben observarse en el {nameof ObservationTank} antes de que puedan medirse."
experiment.summary.noteHeader, , , "<b>Nota:</b><margin-left=1.5em>\n{0}"
experiment.summary.noInteractionHeader, , , "<b>No se han detectado interacciones</b> <b>Nota:</b><margin-left=1,5em>\n{0}"
experiment.summary.alreadyObserved, , , "<b>No Hay Nuevas Interacciones Descubiertas</b>\n\n<b>Note:</b><margin-left=1.5em>\n{0}"
experiment.summary.header, , , "Resultados del Experimento"
experiment.summary.single.header, , , "Resultados Del Experimento\n<size=80%>{critter-name}{0}{/critter-name}"
experiment.summary.header.fail, , , "Experimento Inconcluso"
experiment.summary.header.redundant, , , "Experimento Innecesario"
experiment.summary.measure.repro, , , "Instrucciones sobre la Tasa de Reproducción- Activa el {nameof AutoFeeder}- Activa el {nameof WaterStabilizer}- Añade un Tipo de Organismo"
experiment.summary.measure.water, , , "Instrucciones sobre la química del agua: - Activa el {nameof AutoFeeder} - Desactiva el {nameof WaterStabilizer} - Añade un tipo de organismo."
experiment.summary.measure.eat, , , "Instrucciones sobre la tasa de alimentación- Desactiva el {nameof AutoFeeder}- Activa el {nameof WaterStabilizer}- Añade dos tipos de organismos"
experiment.button.measure, , , "Analizar Datos"
experiment.button.addEcosystem.activeJob, , , "Trabajo Activo"
experiment.button.addOrganism.inEcosystem, , , "En Ecosystema"
experiment.tank.observation, , , "Tanque de Observación"
experiment.tank.stress, , , "Tanque de Estrés"
experiment.tank.measurement, , , "Tanque de Medidas"
experiment.button.enable, , , "DESACTIVADO"
experiment.button.enabled, , , "ACTIVADO"
experiment.observation.newBehavior.header, , , "¡Nuevo Comportamiento Descubierto!"
experiment.measure.stabilizer.desc, , , "Cuando está ACTIVADO, el tanque mantiene la misma química del agua y las mismas condiciones de luz. Desactívalo sólo si quieres ver el efecto de un organismo en su ambiente."
experiment.measure.stabilizer.name, , , "Estabilizador del tanque"
experiment.measure.feeder.name, , , "Autoalimentador"
experiment.measure.feeder.desc, , , "Cuando está ACTIVADO, todos los organismos obtienen suficiente alimento sin comerse unos a otros. Déjalo ACTIVADO para ver cómo se reproduce un organismo. DESACTIVALO sólo si quieres ver el ritmo al que una especie se come a otra."
experiment.measure.analyzing, , , "Analizando la configuración del tanque..."
experiment.measure.unknownVar, , , "ERROR: No se puede aislar la variable"
experiment.measure.reproVar, , , "Aislado: Índices de reproducción"
experiment.measure.chemVar, , , "Aislado: Interacciones ambientales"
experiment.measure.eatVar, , , "Aislado: Tasas de alimentación/interacción"
words.eat, , , "se come"
words.isEatenBy, , , "es cosumido por"
words.catch, , , "atrapa"
words.catch.disabled, , , "no atrapa"
words.isCaughtBy, , , "es capturado por"
words.isCaughtBy.disabled, , , "no es capturado por"
words.stresses, , , "estresa"
words.isStressedBy, , , "está estresado por"
words.produce, , , "produce"
words.consume, , , "consume"
words.reduce, , , "reduce"
words.reproduce, , , "se reproduce por"
words.reproduce.disabled, , , "deja de reproducirse"
words.death, , , "muere"
words.grow, , , "crece"
words.whenStressed, , , "cuando se estresa"
words.flatGraph.label, , , "Estable"
words.flatGraph.lower, , , "se mantiene estable"
words.increaseGraph.label, , , "Aumenta"
words.increaseGraph.lower, , , "Ha estado aumentado"
words.decreaseGraph.label, , , "Disminuyendo"
words.decreaseGraph.lower, , , "Está disminuyendo"
words.cycleGraph.label, , , "En bicicleta"
words.cycleGraph.lower, , , "Ha estado en bicicleta"
words.stressed, , , "Estresado"
words.masculineNoun, , , "El"
words.feminineNoun, , , "La"
words.masculineNoun.plural, , , "Los"
words.feminineNoun.plural, , , "Las"
words.articles.of, , , "de"
words.articles.by, , , "por"
words.articles.por, , , "por"
fact.whenStressed.label, , , "Al estresarse"
fact.behavior.header, , , "Informe del Comportamiento"
fact.state.header, , , "Informe de la Tolerancia Ambiental"
fact.population.header, , , "Informe de población"
fact.populationHistory.header, , , "Informe Histórico de Población"
fact.waterChem.header, , , "Informe de la Química del Agua"
fact.waterChemHistory.header, , , "Informe Histórico de la Química del Agua"
fact.visualModel.header, , , "Reporte del Modelo Visual"
fact.descriptiveModel.header, , , "Reporte del Modelo Descriptivo"
fact.predictionModel.header, , , "Reporte del Modelo Predictivo"
fact.interveneModel.header, , , "Reporte del Modelo de Intervención"
fact.encrypted.header, , , "Datos encriptados\n<alpha=#AA>{0}"
fact.encrypted.description, , , "Esta información requiere una {h}clave privada{/h} para descifrarse.\n<margin-left=1,5em><alpha=#AA>{0}"
factFormat.eat, , , "{critter-name}{0}{/critter-name} come {critter-name}{1}{/critter-name}."
factFormat.eat.rate, , , "{critter-name}{0}{/critter-name} come {1} de {critter-name}{2}{/critter-name}."
factFormat.eat.stressed, , , "{critter-name}{0}{/critter-name} come {critter-name}{1}{/critter-name} cuando se estresa."
factFormat.eat.stressed.rate, , , "{critter-name}{0}{/critter-name} come {1} de {critter-name}{2}{/critter-name} cuando se estresa."
factFormat.catch, , , "{critter-name}{0}{/critter-name} atrapa {1} {critter-name}{2}{/critter-name}."
factFormat.catch.disabled, , , "{critter-name}{0}{/critter-name} no atrapa {critter-name}{1}{/critter-name}."
factFormat.stresses, , , "{critter-name}{0}{/critter-name} estresa {critter-name}{1}{critter-name}."
factFormat.stresses.rate, , , "{critter-name}{0}{/critter-name} estresa {1} {critter-name}{2}{critter-name}."
factFormat.produce, , , "{critter-name}{0}{/critter-name} produce {1} {property-name}{2}{/property-name}."
factFormat.produce.stressed, , , "{critter-name}{0}{/critter-name} produce {1} de {property-name}{2}{/property-name} cuando se estresa."
factFormat.consume, , , "{critter-name}{0}{/critter-name} consume {1} de {property-name}{2}{/property-name}."
factFormat.consume.stressed, , , "{critter-name}{0}{/critter-name} consume {1} {property-name}{2}{/property-name} cuando se estresa."
factFormat.reduce, , , "{critter-name}{0}{/critter-name} reduce {property-name}{2}{/property-name} por {1}."
factFormat.reduce.stressed, , , "{critter-name}{0}{/critter-name} reduce {property-name}{2}{/property-name} por {1} cuando se estresa."
factFormat.reproduce, , , "{critter-name}{0}{/critter-name} se reproduce por un {1}."
factFormat.reproduce.disabled, , , "{critter-name}{0}{/critter-name} no se reproduce."
factFormat.reproduce.stressed, , , "{critter-name}{0}{/critter-name} se reproduce por un {1} cuando se estresa."
